Source,Target,Weight,Book
ahalya,raghu,1,2
janak,visvamitra,3,2
janak,satananda,9,2
visvamitra,satananda,6,2
visala,ahalya,1,2
visvamitra,gautam,3,2
gautam,satananda,1,2
rama,satananda,6,2
renuka,bhrigu,1,2
renuka,rama,1,2
renuka,satananda,1,2
bhrigu,rama,1,2
bhrigu,satananda,1,2
kusa,gadhi,1,2
gadhi,visvamitra,2,2
balakhilyas,vasishtha,1,2
vasishtha,visvamitra,9,2
pahlavas,visvamitra,2,2
kambojas,barbars,2,2
visvamitra,kambojas,3,2
vasishtha,kambojas,5,2
barbars,sakas,1,2
sakas,mlechchhas,1,2
sakas,kiratas,1,2
sakas,haritas,1,2
mlechchhas,kiratas,1,2
mlechchhas,haritas,1,2
mlechchhas,visvamitra,1,2
kiratas,haritas,1,2
kiratas,visvamitra,1,2
haritas,visvamitra,1,2
himalaya,nagas,1,2
himalaya,mahadeva,1,2
nagas,mahadeva,1,2
nagas,siva,1,2
mahadeva,siva,2,2
varun,rudra,2,2
varun,indra,2,2
rudra,indra,1,2
brahma,varun,3,2
brahma,pinaka,3,2
vishnu,wind-god,1,2
havishyand,madhushyand,1,2
havishyand,maharath,1,2
havishyand,dridhanetra,1,2
madhushyand,maharath,1,2
madhushyand,dridhanetra,1,2
madhushyand,brahma,1,2
maharath,dridhanetra,1,2
maharath,brahma,1,2
dridhanetra,brahma,1,2
brahma,kusik,1,2
ikshvaku,trisanku,2,2
trisanku,raghu,3,2
raghu,vasishtha,1,2
vasishtha,trisanku,5,2
vasishtha,chandala,1,2
chandala,trisanku,2,2
visvamitra,trisanku,8,2
ayodhya,chandala,1,2
kusik,ikshvaku,3,2
mahodaya,vasishtha,2,2
visvamitra,ikshvaku,6,2
trisanku,ikshvaku,5,2
titan,visvamitra,1,2
ayodhya,ambarisha,1,2
ayodhya,indra,1,2
ambarisha,indra,4,2
bhrigu,richika,1,2
sunahsepha,visvamitra,2,2
vishnu,agni,2,2
fire-god,indra,1,2
fire-god,upendra,1,2
fire-god,thousand-eyed,1,2
fire-god,vishnu,1,2
indra,upendra,2,2
upendra,thousand-eyed,1,2
upendra,vishnu,1,2
upendra,sunahsepha,1,2
thousand-eyed,vishnu,1,2
thousand-eyed,sunahsepha,1,2
visvamitra,menaka,2,2
menaka,kusik,1,2
vishnu,sakra,1,2
kusik,thousand-eyed,3,2
indra,rambha,2,2
vedas,vasishtha,1,2
vasishtha,brahma,3,2
satananda,kusik,1,2
satananda,janak,1,2
kusik,janak,2,2
devarat,nimi,1,2
nimi,rudra,1,2
nimi,daksha,1,2
rudra,daksha,6,2
mithila,siva,2,2
rama,sita,2,2
sita,ayodhya,1,2
satananda,vamadeva,1,2
satananda,vasishtha,1,2
vamadeva,vasishtha,1,2
vamadeva,kausalya,1,2
vamadeva,visvamitra,1,2
vasishtha,kausalya,1,2
kausalya,visvamitra,1,2
kausalya,janak,1,2
vasishtha,markandeya,2,2
vasishtha,katyayana,2,2
vasishtha,sumantra,2,2
vamadeva,markandeya,1,2
vamadeva,katyayana,1,2
vamadeva,sumantra,1,2
markandeya,javali,1,2
markandeya,kasyap,1,2
markandeya,katyayana,1,2
markandeya,sumantra,1,2
javali,katyayana,1,2
javali,sumantra,1,2
kasyap,katyayana,1,2
kasyap,sumantra,1,2
katyayana,sumantra,1,2
videha,janak,2,2
indra,raghu,1,2
lakshman,visvamitra,1,2
satananda,kusadhwaj,2,2
kusadhwaj,sankasya,1,2
kusadhwaj,pushpak,1,2
sankasya,pushpak,2,2
sankasya,ikshumati,2,2
pushpak,ikshumati,1,2
indra,sankasya,1,2
vishnu,sankasya,1,2
mithila,satananda,2,2
sudaman,ikshvaku,6,2
sudaman,ayodhya,5,2
ikshvaku,ayodhya,4,2
raghu,ayodhya,2,2
raghu,mithila,2,2
videha,ikshvaku,2,2
videha,vasishtha,2,2
brahma,marichi,2,2
brahma,kasyap,1,2
brahma,vivasvat,1,2
marichi,kasyap,3,2
marichi,vivasvat,2,2
marichi,manu,4,2
kasyap,vivasvat,1,2
kasyap,manu,2,2
kasyap,ikshvaku,1,2
vivasvat,manu,2,2
vivasvat,ikshvaku,1,2
vivasvat,ayodhya,1,2
manu,ikshvaku,2,2
manu,ayodhya,2,2
kukshi,vikukshi,2,2
kukshi,vana,2,2
vikukshi,vana,1,2
vikukshi,anaranya,1,2
vikukshi,prithu,1,2
vikukshi,trisanku,1,2
vana,anaranya,1,2
vana,prithu,1,2
vana,trisanku,1,2
anaranya,prithu,1,2
anaranya,trisanku,1,2
prithu,trisanku,1,2
trisanku,yuvanasva,1,2
yuvanasva,mandhata,1,2
yuvanasva,susandhi,1,2
mandhata,susandhi,1,2
mandhata,dhruvasandhi,1,2
susandhi,dhruvasandhi,2,2
susandhi,bharat,1,2
dhruvasandhi,bharat,3,2
dhruvasandhi,asit,4,2
bharat,asit,2,2
asit,haihayas,2,2
asit,talajanghas,2,2
haihayas,talajanghas,1,2
chyavan,bhrigu,1,2
chyavan,himalaya,1,2
bhrigu,himalaya,1,2
sagar,asamanj,2,2
sagar,dilipa,2,2
sagar,bhagirath,2,2
asamanj,ansuman,2,2
asamanj,dilipa,1,2
asamanj,bhagirath,1,2
ansuman,bhagirath,2,2
ansuman,raghu,2,2
dilipa,bhagirath,1,2
dilipa,raghu,1,2
dilipa,purushadak,1,2
bhagirath,raghu,1,2
bhagirath,purushadak,1,2
purushadak,kalmashapada,1,2
purushadak,sankan,1,2
purushadak,sudarsan,1,2
kalmashapada,sankan,1,2
kalmashapada,sudarsan,1,2
sankan,sudarsan,2,2
sankan,agnivarna,1,2
sankan,sighraga,1,2
sudarsan,agnivarna,2,2
sudarsan,sighraga,2,2
sudarsan,maru,2,2
agnivarna,sighraga,1,2
agnivarna,maru,2,2
agnivarna,ambarisha,1,2
sighraga,maru,2,2
sighraga,ambarisha,2,2
sighraga,nahush,1,2
maru,ambarisha,4,2
maru,nahush,4,2
ambarisha,nahush,6,2
ambarisha,nabhag,4,2
nahush,nabhag,4,2
nabhag,dasaratha,2,2
nabhag,rama,2,2
nabhag,lakshman,2,2
dasaratha,rama,3,2
dasaratha,lakshman,1,2
rama,ikshvaku,2,2
lakshman,ikshvaku,2,2
nimi,mithi,1,2
nimi,janak,1,2
mithi,janak,1,2
mithi,udavasu,1,2
mithi,nandivardhan,1,2
udavasu,nandivardhan,1,2
udavasu,suketu,1,2
nandivardhan,suketu,1,2
nandivardhan,devarat,2,2
suketu,devarat,2,2
mahabir,sudhriti,1,2
haryasva,maru,2,2
haryasva,pratindhak,2,2
haryasva,kirtiratha,2,2
maru,pratindhak,1,2
maru,kirtiratha,1,2
maru,devamidha,1,2
maru,vibudh,1,2
maru,mahandhrak,1,2
pratindhak,kirtiratha,1,2
pratindhak,devamidha,1,2
pratindhak,vibudh,1,2
pratindhak,mahandhrak,2,2
kirtiratha,devamidha,1,2
kirtiratha,vibudh,1,2
kirtiratha,mahandhrak,2,2
devamidha,vibudh,1,2
devamidha,mahandhrak,2,2
devamidha,kirtirat,1,2
vibudh,mahandhrak,2,2
vibudh,kirtirat,1,2
vibudh,maharoma,1,2
mahandhrak,kirtirat,2,2
mahandhrak,maharoma,2,2
kirtirat,maharoma,1,2
kirtirat,swarnaroma,1,2
kirtirat,hrasvaroma,1,2
maharoma,swarnaroma,1,2
maharoma,hrasvaroma,1,2
swarnaroma,hrasvaroma,1,2
hrasvaroma,kusadhwaj,1,2
sankasya,sudhanva,2,2
sankasya,siva,2,2
sankasya,sita,2,2
sudhanva,siva,2,2
sudhanva,sita,2,2
siva,sita,1,2
rama,urmila,1,2
urmila,lakshman,1,2
magha,phalguni,1,2
janak,vasishtha,9,2
janak,kusik,2,2
vasishtha,kusik,2,2
vasishtha,ikshvaku,2,2
vasishtha,videha,2,2
kusik,videha,1,2
ikshvaku,videha,2,2
bharat,dasaratha,2,2
satrughna,dasaratha,2,2
ayodhya,videha,1,2
kekaya,yudhajit,3,2
kekaya,bharat,4,2
yudhajit,bharat,1,2
dasaratha,vasishtha,1,2
janak,videha,7,2
janak,ayodhya,7,2
videha,ayodhya,1,2
kausalya,sita,1,2
lakshman,urmila,1,2
urmila,bharat,1,2
srutakirti,raghu,1,2
visvamitra,ayodhya,1,2
ayodhya,janak,2,2
mithila,ayodhya,1,2
jamadagni,bhrigu,1,2
bhrigu,kailasa,3,2
siva,tripura,1,2
siva,vasishtha,1,2
tripura,vasishtha,1,2
jamadagni,rama,2,2
bhrigu,thousand-eyed,1,2
thousand-eyed,kasyap,1,2
kasyap,mahendra,2,2
mahendra,rama,2,2
tripura,vishnu,1,2
siva,vishnu,8,2
devarat,videha,1,2
richika,vishnu,1,2
richika,jamadagni,1,2
richika,arjun,1,2
raghu,mahendra,1,2
rama,varun,7,2
varun,bhrigu,1,2
bhrigu,ayodhya,2,2
dasaratha,bhrigu,2,2
himalaya,kausalya,1,2
himalaya,sumitra,1,2
himalaya,kaikeyi,1,2
kausalya,kaikeyi,2,2
sita,urmila,1,2
sita,kusadhwaj,1,2
urmila,kusadhwaj,1,2
bharat,kaikeyi,2,2
bharat,yudhajit,4,2
bharat,kekaya,3,2
yudhajit,kekaya,2,2
kekaya,satrughna,1,2
satrughna,rama,1,2
satrughna,yudhajit,1,2
vishnu,lakshmi,1,2
narad,valmiki,2,3
indra,vishnu,6,3
ikshvaku,rama,1,3
himalaya,vishnu,1,3
dasaratha,kaikeyi,1,3
sita,rama,15,3
sita,janak,6,3
janak,rohini,1,3
rohini,rama,1,3
sringavera,ganga,1,3
sringavera,guha,1,3
ganga,guha,1,3
bharadvaja,chitrakuta,3,3
bharadvaja,rama,1,3
bharadvaja,lakshman,1,3
chitrakuta,rama,3,3
chitrakuta,lakshman,3,3
chitrakuta,sita,3,3
meru,siva,1,3
siva,rama,1,3
siva,bharat,1,3
ayodhya,nandigrama,2,3
ayodhya,rama,4,3
