Source,Target,Book_no,Weight
ambarisha,ganga,1,0.40183392
ambarisha,gautam,1,0.36896974
ambarisha,glory,1,0.3987085
ambarisha,guha,1,0.14376515
ambarisha,hanuman,1,0.2773058
ambarisha,himalaya,1,0.3205363
ambarisha,honour,1,0.39231038
ambarisha,ikshvaku,1,0.28941208
ambarisha,indra,1,0.4195982
ambarisha,jahnu,1,0.183445
ambarisha,jahnavi,1,0.14515893
ambarisha,jamadagni,1,0.17856717
ambarisha,janak,1,0.3982322
ambarisha,javali,1,0.07067427
ambarisha,jaya,1,0.0071652746
ambarisha,justice,1,0.31643215
ambarisha,kabandha,1,0.20991059
ambarisha,kaikeyi,1,0.3763499
ambarisha,kambojas,1,0.117689915
ambarisha,kandarpa,1,0.22645353
ambarisha,kasyap,1,0.30409116
ambarisha,kausalya,1,0.24404913
ambarisha,kesini,1,0.103221044
ambarisha,krisasva,1,0.040810313
ambarisha,kusa,1,0.30037123
ambarisha,kusadhwaj,1,0.18710539
ambarisha,kusanabha,1,0.35295668
ambarisha,kusik,1,0.26742133
ambarisha,lakshman,1,0.4539948
ambarisha,lanka,1,0.011111017
ambarisha,lomapad,1,0.2737949
ambarisha,madhu,1,0.29036805
ambarisha,madhushyand,1,0.1510152
ambarisha,mahodaya,1,0.16169375
ambarisha,manu,1,0.15564163
ambarisha,maricha,1,0.36927736
ambarisha,maru,1,0.057009812
ambarisha,maruts,1,0.30144635
ambarisha,mithila,1,0.35658067
ambarisha,moon,1,0.40315345
ambarisha,nabhag,1,0.16122137
ambarisha,nagas,1,0.023882382
ambarisha,nahush,1,0.15889072
ambarisha,nala,1,0.23448257
ambarisha,nandigrama,1,0.26504332
ambarisha,narad,1,0.07920484
ambarisha,narayan,1,0.20741978
ambarisha,nimi,1,0.23338488
ambarisha,ocean,1,0.40193146
ambarisha,pahlavas,1,0.15526249
ambarisha,phalguni,1,0.20615062
ambarisha,raghu,1,0.4315617
ambarisha,rain,1,0.4239709
ambarisha,rama,1,0.4153093
ambarisha,rambha,1,-0.17401044
ambarisha,ravan,1,0.392278
ambarisha,richika,1,0.13247585
ambarisha,right,1,0.4166501
ambarisha,rishyasring,1,0.3975672
ambarisha,rudra,1,0.22627848
ambarisha,sagar,1,0.39992225
ambarisha,sakas,1,0.16745599
ambarisha,sanatkumar,1,0.049391143
ambarisha,santa,1,0.36406383
ambarisha,satananda,1,0.28326342
ambarisha,satrughna,1,0.22331472
ambarisha,sita,1,0.42508593
ambarisha,siva,1,0.27973995
ambarisha,sthanu,1,0.0897926
ambarisha,sudaman,1,-0.04545067
ambarisha,sudarsan,1,0.22118501
ambarisha,sudhanva,1,0.13513464
ambarisha,sudras,1,0.08588672
ambarisha,sugriva,1,0.36521745
ambarisha,suketu,1,-0.013041259
ambarisha,sumantra,1,0.35895294
ambarisha,sumati,1,0.22456554
ambarisha,sumitra,1,0.30201894
ambarisha,sun,1,0.4342705
ambarisha,sunahsepha,1,0.3494492
ambarisha,sunda,1,0.26118714
ambarisha,suvahu,1,0.27854607
ambarisha,tadaka,1,0.37013334
ambarisha,tara,1,0.11072859
ambarisha,thousand-eyed,1,0.37646466
ambarisha,titan,1,0.24363345
ambarisha,trident,1,0.23429947
ambarisha,tripura,1,0.1397436
ambarisha,trisanku,1,0.3448066
ambarisha,uma,1,0.3277428
ambarisha,urmila,1,0.17487212
ambarisha,valmiki,1,0.32006302
ambarisha,vamadeva,1,0.34811607
ambarisha,varun,1,0.27226388
ambarisha,vasishtha,1,0.41626593
ambarisha,vasudeva,1,0.26485363
ambarisha,vedas,1,0.004803681
ambarisha,vibhandak,1,0.237767
ambarisha,vibhishan,1,-0.004136149
ambarisha,viradha,1,-0.012993631
ambarisha,virtue,1,0.40532646
ambarisha,visala,1,0.14984512
ambarisha,vishnu,1,0.4222293
ambarisha,visvamitra,1,0.41473833
ambarisha,wind,1,0.36508885
ambarisha,wind-god,1,0.34570232
ambarisha,yudhajit,1,0.18590252
ansuman,asamanj,1,0.40476325
ansuman,asit,1,0.3161255
ansuman,asoka,1,0.1504844
ansuman,asurs,1,0.3558747
ansuman,asvins,1,0.31239522
ansuman,ayodhya,1,0.7096349
ansuman,bali,1,0.744238
ansuman,barbars,1,0.15118825
ansuman,beauty,1,0.6839879
ansuman,bhagirath,1,0.7435018
ansuman,bharadvaja,1,0.4793409
ansuman,bharat,1,0.7233894
ansuman,bhrigu,1,0.36222008
ansuman,brahma,1,0.73199964
ansuman,brahmadatta,1,0.25523046
ansuman,chandala,1,0.20870756
ansuman,dasaratha,1,0.76215994
ansuman,devarat,1,0.49946854
ansuman,dilipa,1,0.6270171
ansuman,diti,1,0.28012457
ansuman,fame,1,0.7655531
ansuman,fate,1,0.77978355
ansuman,fire,1,0.7756454
ansuman,fortune,1,0.6258154
ansuman,gadhi,1,0.3530529
ansuman,ganga,1,0.74421096
ansuman,gautam,1,0.49793145
ansuman,glory,1,0.7690088
