Source,Target,Weight,Book,vader
suchandra,sahadeva,1,2,0.8126
suchandra,kusasva,1,2,0.8126
dhumrasva,sahadeva,1,2,0.8126
dhumrasva,kusasva,1,2,0.8126
dhumrasva,somadatta,1,2,0.8126
sahadeva,kusasva,1,2,0.4404
sahadeva,somadatta,1,2,0.4404
sahadeva,sumati,1,2,0.4404
kusasva,somadatta,1,2,0.4404
kusasva,sumati,1,2,0.4404
kusasva,ikshvaku,1,2,0.4404
somadatta,sumati,1,2,0.7003
somadatta,ikshvaku,1,2,0.7003
somadatta,visala,1,2,0.7003
sumati,ikshvaku,2,2,0.7003
sumati,visala,2,2,0.7003
mithila,sumati,1,2,0.7184
mithila,visvamitra,1,2,0.7184
mithila,janak,3,2,0.7073
gautam,ahalya,3,2,0.9324
indra,ahalya,3,2,0.9402
gautam,rama,4,2,0.9042
gautam,raghu,6,2,0.8330666666666667
ahalya,rama,1,2,-0.0
ahalya,raghu,1,2,-0.0
janak,visvamitra,3,2,0.6369
janak,satananda,9,2,0.8257
visvamitra,satananda,6,2,0.3654833333333333
visala,ahalya,1,2,0.6705
visvamitra,gautam,3,2,0.6249
gautam,satananda,1,2,0.6249
rama,satananda,6,2,0.9062
renuka,bhrigu,1,2,0.6705
renuka,rama,1,2,0.6705
renuka,satananda,1,2,0.6705
bhrigu,rama,1,2,0.6705
bhrigu,satananda,1,2,0.6705
kusa,gadhi,1,2,0.296
gadhi,visvamitra,2,2,0.5994
balakhilyas,vasishtha,1,2,0.7269
vasishtha,visvamitra,9,2,-0.07751111111111114
pahlavas,visvamitra,2,2,-0.7269
kambojas,barbars,2,2,-0.0928
visvamitra,kambojas,3,2,0.5106
vasishtha,kambojas,5,2,0.5106
barbars,sakas,1,2,0.0
sakas,mlechchhas,1,2,0.0
sakas,kiratas,1,2,0.0
sakas,haritas,1,2,0.0
mlechchhas,kiratas,1,2,0.0
mlechchhas,haritas,1,2,0.0
mlechchhas,visvamitra,1,2,0.0
kiratas,haritas,1,2,0.0
kiratas,visvamitra,1,2,0.0
haritas,visvamitra,1,2,0.0
himalaya,nagas,1,2,0.4215
himalaya,mahadeva,1,2,0.4215
nagas,mahadeva,1,2,0.4215
nagas,siva,1,2,0.4215
mahadeva,siva,2,2,0.4215
varun,rudra,2,2,-0.5574
varun,indra,2,2,-0.5574
rudra,indra,1,2,-0.5574
brahma,varun,3,2,0.0
brahma,pinaka,3,2,0.0
vishnu,wind-god,1,2,-0.5267
havishyand,madhushyand,1,2,0.5994
havishyand,maharath,1,2,0.5994
havishyand,dridhanetra,1,2,0.5994
madhushyand,maharath,1,2,0.5994
madhushyand,dridhanetra,1,2,0.5994
madhushyand,brahma,1,2,0.5994
maharath,dridhanetra,1,2,0.6124
maharath,brahma,1,2,0.6124
dridhanetra,brahma,1,2,0.9136
brahma,kusik,1,2,0.8555
ikshvaku,trisanku,2,2,0.886
trisanku,raghu,3,2,0.9231000000000001
raghu,vasishtha,1,2,0.9485
vasishtha,trisanku,5,2,0.8402
vasishtha,chandala,1,2,-0.9406
chandala,trisanku,2,2,0.2942
visvamitra,trisanku,8,2,0.62545
ayodhya,chandala,1,2,-0.8934
kusik,ikshvaku,3,2,0.8488333333333333
mahodaya,vasishtha,2,2,-0.8779
visvamitra,ikshvaku,6,2,0.8765999999999999
trisanku,ikshvaku,5,2,0.8051
titan,visvamitra,1,2,-0.6597
ayodhya,ambarisha,1,2,0.0
ayodhya,indra,1,2,0.0
ambarisha,indra,4,2,-0.131675
bhrigu,richika,1,2,0.0
sunahsepha,visvamitra,2,2,0.128
vishnu,agni,2,2,0.7184
fire-god,indra,1,2,0.9153
fire-god,upendra,1,2,0.9153
fire-god,thousand-eyed,1,2,0.9153
fire-god,vishnu,1,2,0.9153
indra,upendra,2,2,0.9432
upendra,thousand-eyed,1,2,0.9432
